"Region","Year","Age Range","Alcohol Use","Measure Type","Variable","Value"
"Connecticut","2004-2006","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.08
"Connecticut","2004-2006","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.6
"Connecticut","2004-2006","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.41
"Connecticut","2004-2006","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.15
"Connecticut","2004-2006","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",20.7
"Connecticut","2004-2006","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",2.08
"Connecticut","2004-2006","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",12.25
"Connecticut","2004-2006","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",1.64
"Connecticut","2004-2006","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",8.33
"Connecticut","2004-2006","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.52
"Connecticut","2004-2006","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",22.84
"Connecticut","2004-2006","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",2.47
"Connecticut","2004-2006","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",72.54
"Connecticut","2004-2006","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",2.58
"Connecticut","2004-2006","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",49.08
"Connecticut","2004-2006","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.98
"Connecticut","2004-2006","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.75
"Connecticut","2004-2006","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.7
"Connecticut","2004-2006","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",8.97
"Connecticut","2004-2006","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.16
"Connecticut","2004-2006","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",66.05
"Connecticut","2004-2006","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",2.64
"Connecticut","2004-2006","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",27.1
"Connecticut","2004-2006","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.19
"Connecticut","2004-2006","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.05
"Connecticut","2004-2006","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.75
"Connecticut","2004-2006","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.85
"Connecticut","2004-2006","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.24
"Connecticut","2004-2006","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",65.07
"Connecticut","2004-2006","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",2.96
"Connecticut","2004-2006","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",23.74
"Connecticut","2004-2006","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.4
"Connecticut","2006-2008","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.29
"Connecticut","2006-2008","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.57
"Connecticut","2006-2008","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.68
"Connecticut","2006-2008","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.16
"Connecticut","2006-2008","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",19.13
"Connecticut","2006-2008","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",1.86
"Connecticut","2006-2008","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",13.44
"Connecticut","2006-2008","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",1.75
"Connecticut","2006-2008","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",8.18
"Connecticut","2006-2008","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.32
"Connecticut","2006-2008","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",20.79
"Connecticut","2006-2008","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",2.22
"Connecticut","2006-2008","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",70.72
"Connecticut","2006-2008","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",2.6
"Connecticut","2006-2008","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",47.67
"Connecticut","2006-2008","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.85
"Connecticut","2006-2008","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.76
"Connecticut","2006-2008","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.63
"Connecticut","2006-2008","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",8.56
"Connecticut","2006-2008","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.02
"Connecticut","2006-2008","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",66.29
"Connecticut","2006-2008","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",2.32
"Connecticut","2006-2008","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",27.11
"Connecticut","2006-2008","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",1.99
"Connecticut","2006-2008","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.07
"Connecticut","2006-2008","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.67
"Connecticut","2006-2008","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.65
"Connecticut","2006-2008","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.05
"Connecticut","2006-2008","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",65.6
"Connecticut","2006-2008","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",2.56
"Connecticut","2006-2008","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",23.91
"Connecticut","2006-2008","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.19
"Connecticut","2008-2010","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.92
"Connecticut","2008-2010","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.54
"Connecticut","2008-2010","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",5.31
"Connecticut","2008-2010","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1
"Connecticut","2008-2010","12-17","Alcohol Use in the Past Month","Percent","Alcohol Use",18.18
"Connecticut","2008-2010","12-17","Alcohol Use in the Past Month","Percent","Margins of Error",1.98
"Connecticut","2008-2010","12-17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",12.28
"Connecticut","2008-2010","12-17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",1.78
"Connecticut","2008-2010","18-25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",6.82
"Connecticut","2008-2010","18-25","Alcohol Dependence in the Past Year","Percent","Margins of Error",1.24
"Connecticut","2008-2010","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",19
"Connecticut","2008-2010","18-25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",2.09
"Connecticut","2008-2010","18-25","Alcohol Use in the Past Month","Percent","Alcohol Use",68.22
"Connecticut","2008-2010","18-25","Alcohol Use in the Past Month","Percent","Margins of Error",2.72
"Connecticut","2008-2010","18-25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",46.75
"Connecticut","2008-2010","18-25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.85
"Connecticut","2008-2010","Over 17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",3.45
"Connecticut","2008-2010","Over 17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.62
"Connecticut","2008-2010","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",8.3
"Connecticut","2008-2010","Over 17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.07
"Connecticut","2008-2010","Over 17","Alcohol Use in the Past Month","Percent","Alcohol Use",63.98
"Connecticut","2008-2010","Over 17","Alcohol Use in the Past Month","Percent","Margins of Error",2.47
"Connecticut","2008-2010","Over 17","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",28.01
"Connecticut","2008-2010","Over 17","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.11
"Connecticut","2008-2010","Over 25","Alcohol Dependence in the Past Year","Percent","Alcohol Use",2.91
"Connecticut","2008-2010","Over 25","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.68
"Connecticut","2008-2010","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",6.58
"Connecticut","2008-2010","Over 25","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",1.12
"Connecticut","2008-2010","Over 25","Alcohol Use in the Past Month","Percent","Alcohol Use",63.29
"Connecticut","2008-2010","Over 25","Alcohol Use in the Past Month","Percent","Margins of Error",2.74
"Connecticut","2008-2010","Over 25","Binge Alcohol Use in the Past Month","Percent","Alcohol Use",24.99
"Connecticut","2008-2010","Over 25","Binge Alcohol Use in the Past Month","Percent","Margins of Error",2.32
"Connecticut","2010-2012","12-17","Alcohol Dependence in the Past Year","Percent","Alcohol Use",1.32
"Connecticut","2010-2012","12-17","Alcohol Dependence in the Past Year","Percent","Margins of Error",0.34
"Connecticut","2010-2012","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Alcohol Use",3.98
"Connecticut","2010-2012","12-17","Alcohol Dependence or Abuse in the Past Year","Percent","Margins of Error",0.85
